dcas_bbl,dcas_hnum,display_hnum,dcas_sname,sname_1b,parcel_name,display_name,agency,primary_use_code,primary_use_text,reviewed
1018720029,830,830,AMSTERDAM AVENUE,AMSTERDAM AVENUE,830 AMSTERDAM AVE HOUSES,830 AMSTERDAM AVENUE HOUSES,NYCHA,1410,IN USE-RESIDENTIAL STRUCTURE,Y
4079540139,,,88 AVENUE,88 AVENUE,88TH AVE,88TH AVENUE,DOT,880,ROAD/HIGHWAY,Y
1015240064,112,112,EAST   96 STREET,EAST   96 STREET,96TH ST REGIONAL BRANCH LIBR,96TH ST REGIONAL BRANCH LIBRARY,NYPL,332,BRANCH LIBRARY,Y
1017570169,,,E 135 ST,EAST  135 STREET,ABRAHAM LINCOLN HOUSES PLGD,ABRAHAM LINCOLN HOUSES PLAYGROUND,PARKS,431,PLAYGROUND,Y
1021780600,,,RIVERSIDE DR,RIVERSIDE DRIVE,ADDITION TO FT WASHINGTON PK,ADDITION TO FT WASHINGTON PARK,PARKS,440,PARK,Y
2036040039,1980,1980,LAFAYETTE AVENUE,LAFAYETTE AVENUE,ADLAI STEVENSON/SO E BX. HS,ADLAI STEVENSON/SO E BRONX HS,EDUC,213,ACADEMIC HIGH SCHOOL,Y
2029490006,,,CROSS BRONX EXPRESSWAY,CROSS BRONX EXPRESSWAY,ADMIRAL FARRAGUT (PS44) PLGD,ADMIRAL FARRAGUT (PS44) PLAYGROUND,EDUC,430,PLAYGROUND/SPORTS AREA,Y
2029490006,,,CROSS BRONX EXPRESSWAY,CROSS BRONX EXPRESSWAY,ADMIRAL FARRAGUT (PS44) PLGD,ADMIRAL FARRAGUT (PS44) PLAYGROUND,PARKS,431,PLAYGROUND,Y
3012300050,1115,1115,PROSPECT PLACE,PROSPECT PLACE,ALBANY AVENUE DCC PLAYLOT,ALBANY AVENUE DCC PLAYGROUND,EDUC,751,DAY CARE CENTER,Y
3012300051,1113,1113,PROSPECT PLACE,PROSPECT PLACE,ALBANY AVENUE DCC PLAYLOT,ALBANY AVENUE DCC PLAYGROUND,EDUC,751,DAY CARE CENTER,Y
3012300049,1117,1117,PROSPECT PLACE,PROSPECT PLACE,ALBANY AVENUE DCC PLAYLOT,ALBANY AVENUE DCC PLAYGROUND,EDUC,751,DAY CARE CENTER,Y
4035290083,,,MADISON STREET,MADISON STREET,ALBERT C BENNIGER PLGD,ALBERT C BENNIGER PLAYGROUND,PARKS,430,PLAYGROUND/SPORTS AREA,Y
5028300150,,,CLIFTON AVENUE,CLIFTON AVENUE,ALICE AUSTEN HOUSE & PARK,ALICE AUSTEN HOUSE AND PARK,PARKS,471,NATURAL AREA/WETLAND/WILDLIFE REFUGE,Y
5028300049,200,200,EDGEWATER STREET,EDGEWATER STREET,ALICE AUSTEN HOUSE & PARK,ALICE AUSTEN HOUSE AND PARK,DCAS,1900,IN USE-TENANTED,Y
5028300100,,,EDGEWATER STEET,EDGEWATER STEET,ALICE AUSTEN HOUSE & PARK,ALICE AUSTEN HOUSE AND PARK,PARKS,440,PARK,Y
5028300050,,,HYLAN BOULEVARD,HYLAN BOULEVARD,ALICE AUSTEN HOUSE & PARK,ALICE AUSTEN HOUSE AND PARK,PARKS,471,NATURAL AREA/WETLAND/WILDLIFE REFUGE,Y
5028300049,200,200,EDGEWATER STREET,EDGEWATER STREET,ALICE AUSTEN HOUSE & PARK,ALICE AUSTEN HOUSE AND PARK,PARKS,440,PARK,Y
5028300155,,,EDGEWATER ST,EDGEWATER STREET,ALICE AUSTEN HOUSE & PARK,ALICE AUSTEN HOUSE AND PARK,PARKS,440,PARK,Y
4110490001,207-01,207-01,116 AVENUE,116 AVENUE,ANDREW JACKSON HS & ATH FIELD,ANDREW JACKSON HS AND ATHLETIC FIELD,EDUC,213,ACADEMIC HIGH SCHOOL,Y
4099860073,91-24,91-24,146 STREET,146 STREET,ARCHER AVE. STATION PLZA STG1,ARCHER AVENUE STATION PLZA STG1,DOT,1510,NO USE-NON RESIDENTIAL STRUCTURESE,Y
4099860070,91-20,91-20,146 STREET,146 STREET,ARCHER AVE. STATION PLZA STG1,ARCHER AVENUE STATION PLZA STG1,DOT,1510,NO USE-NON RESIDENTIAL STRUCTURESE,Y
2030730013,2344,2344,ARTHUR AVENUE,ARTHUR AVENUE,ARTHUR AVE RETAIL MARKET,ARTHUR AVENUE RETAIL MARKET,DSBS,1900,IN USE-TENANTED,Y
2030730013,2344,2344,ARTHUR AVENUE,ARTHUR AVENUE,ARTHUR AVE RETAIL MARKET,ARTHUR AVENUE RETAIL MARKET,EDC,1900,IN USE-TENANTED,Y
3086980001,502,502,SURF AVENUE,SURF AVENUE,ASSER LEVY PARK & AQUARIUM,ASSER LEVY PARK AND AQUARIUM,PARKS,450,SPECIAL RECREATIONAL FACILITY - INDOOR,Y
3086980001,502,502,SURF AVENUE,SURF AVENUE,ASSER LEVY PARK & AQUARIUM,ASSER LEVY PARK AND AQUARIUM,CULT,340,ZOO/AQUARIUM,Y
4005180035,,,31 AVENUE,31 AVENUE,ASTORIA HEALTH CENTER PLGD,ASTORIA HEALTH CENTER PLAYGROUND,PARKS,431,PLAYGROUND,Y
2035660001,,,,,ATHLTC FLD A STEVNSON/SE BX HS,ATHLETIC FIELD A STEVNSON/SE BRONX HS,EDUC,432,PLAYING FIELD,Y
4122610001,156-10,156-10,BAISLEY BOULEVARD,BAISLEY BOULEVARD,AUGUST MARTIN HS & ATH FIELD,AUGUST MARTIN HS AND ATHLETIC FIELD,EDUC,213,ACADEMIC HIGH SCHOOL,Y
3067360041,1624,1624,CHESTNUT AVENUE,CHESTNUT AVENUE,AVE M FIELD,AVENUE M FIELD,DOT,872,MUNICIPAL PARKING - OUTDOOR,Y
3071400001,84,84,AVENUE V,AVENUE V,AVE V SEWAGE PUMPING STATION,AVENUE V SEWAGE PUMPING STATION,DEP,1112,WASTEWATER PUMPING STATION,Y
1011710136,O,O,,,B/O RIVERSIDE BLVD & W 64ST,B/O RIVERSIDE BLVD AND W 64ST,DOT,880,ROAD/HIGHWAY,Y
1011710012,,,,,B/O RIVERSIDE BLVD & W 70ST,B/O RIVERSIDE BLVD AND W 70ST,DOT,880,ROAD/HIGHWAY,Y
2032390004,2660,2660,BAILEY AVENUE,BAILEY AVENUE,BAILEY AVE&WEST 193 ST PROJECT,BAILEY AVENUE AND WEST 193 ST PROJECT,NYCHA,1410,IN USE-RESIDENTIAL STRUCTURE,Y
1003230001,605,605,FDR DRIVE,FDR DRIVE,BARUCH & BARUCH ADDITION HSES,BARUCH AND BARUCH ADDITION HOUSES,PARKS,440,PARK,Y
1003230001,605,605,FDR DRIVE,FDR DRIVE,BARUCH & BARUCH ADDITION HSES,BARUCH AND BARUCH ADDITION HOUSES,NYCHA,1410,IN USE-RESIDENTIAL STRUCTURE,Y
2030440022,1540,1540,BOSTON ROAD,BOSTON ROAD,BATHGATE DCC PLAYLOT,BATHGATE DCC PLAYGROUND,ACS,434,ACCESSORY PLAY AREA,Y
2030440021,1992,1992,WASHINGTON AVENUE,WASHINGTON AVENUE,BATHGATE DCC PLAYLOT,BATHGATE DCC PLAYGROUND,EDUC,434,ACCESSORY PLAY AREA,Y
4014920034,,,BAXTER AVENUE,BAXTER AVENUE,BAXTER AVE,BAXTER AVENUE,DOT,880,ROAD/HIGHWAY,Y
3083290235,,,SEAVIEW AVENUE,SEAVIEW AVENUE,BAY VIEW HOUSES/PS 272 PLGD,BAY VIEW HOUSES/PS 272 PLAYGROUND,PARKS,430,PLAYGROUND/SPORTS AREA,Y
3083290235,,,SEAVIEW AVENUE,SEAVIEW AVENUE,BAY VIEW HOUSES/PS 272 PLGD,BAY VIEW HOUSES/PS 272 PLAYGROUND,EDUC,431,PLAYGROUND,Y
2049050360,1870,1870,SCHIEFFELIN AVENUE,SCHIEFFELIN AVENUE,BAYCHESTER HOUSES & SENIOR CTR,BAYCHESTER HOUSES AND SENIOR CENTER,NYCHA,1410,IN USE-RESIDENTIAL STRUCTURE,Y
4161670099,100-00,100-00,BEACH CHANNEL DRIVE,BEACH CHANNEL DRIVE,BEACH CHANNEL HS & ATH FIELD,BEACH CHANNEL HS AND ATHLETIC FIELD,EDUC,213,ACADEMIC HIGH SCHOOL,Y
3065940001,7331,7331,BAY PARKWAY,BAY PARKWAY,BEALIN SQUARE & SETH LOW PLGD,BEALIN SQUARE AND SETH LOW PLAYGROUND,PARKS,440,PARK,Y
3062530085,,,BAY PARKWAY,BAY PARKWAY,BEALIN SQUARE SETH LOW PLGD,BEALIN SQUARE SETH LOW PLAYGROUND,PARKS,440,PARK,Y
4041780001,,,20 AVENUE,20 AVENUE,BED OF 20TH AVE,BED OF 20TH AVENUE,DOT,880,ROAD/HIGHWAY,Y
4100940020,150-10,150-10,151 STREET,151 STREET,BED OF ARCHER AVE,BED OF ARCHER AVENUE,DOT,880,ROAD/HIGHWAY,Y
4100940097,,,150 STREET,150 STREET,BED OF ARCHER AVE,BED OF ARCHER AVENUE,DOT,880,ROAD/HIGHWAY,Y
5008540002,,,DUTCHESS AVENUE,DUTCHESS AVENUE,BED OF DUTCHESS AVE,BED OF DUTCHESS AVENUE,DOT,880,ROAD/HIGHWAY,Y
5050670050,,,HYLAN BOULEVARD,HYLAN BOULEVARD,BED OF FAIRLAWN AVE,BED OF FAIRLAWN AVENUE,DOT,1520,NO USE-VACANT LAND,Y
5050670150,,,FAIRLAWN AVENUE,FAIRLAWN AVENUE,BED OF FAIRLAWN AVE,BED OF FAIRLAWN AVENUE,DOT,1530,NO USE-WATERFRONT (ANY AGENCY),Y
5050670075,,,FAIRLAWN AVENUE,FAIRLAWN AVENUE,BED OF FAIRLAWN AVE,BED OF FAIRLAWN AVENUE,DOT,1530,NO USE-WATERFRONT (ANY AGENCY),Y
5008530002,,,OVERLOOK AVE,OVERLOOK AVENUE,BED OF OVERLOOK AVE,BED OF OVERLOOK AVENUE,DOT,880,ROAD/HIGHWAY,Y
5008600053,,,RIDGE AVENUE,RIDGE AVENUE,BED OF RIDGE AVE,BED OF RIDGE AVENUE,DOT,880,ROAD/HIGHWAY,Y
5008600002,,,RIDGE AVENUE,RIDGE AVENUE,BED OF RIDGE AVE,BED OF RIDGE AVENUE,DOT,880,ROAD/HIGHWAY,Y
4018330102,,,,,BED OF ROOSEVELT AVE,BED OF ROOSEVELT AVENUE,DOT,880,ROAD/HIGHWAY,Y
2030890044,2345,2345,BEAUMONT AVENUE,BEAUMONT AVENUE,BELMONT COMMUNITY DCC PLAYLOT,BELMONT COMMUNITY DCC PLAYGROUND,EDUC,434,ACCESSORY PLAY AREA,Y
2030890045,2343,2343,BEAUMONT AVENUE,BEAUMONT AVENUE,BELMONT COMMUNITY DCC PLAYLOT,BELMONT COMMUNITY DCC PLAYGROUND,EDUC,434,ACCESSORY PLAY AREA,Y
2030730020,610,610,EAST  186 STREET,EAST  186 STREET,BELMONT REGIONAL BRANCH LIBR,BELMONT REGIONAL BRANCH LIBRARY,NYPL,332,BRANCH LIBRARY,Y
3070700001,3058,3058,WEST 24 STREET,WEST   24 STREET,BERNARD HABER HOUSES & SNR CTR,BERNARD HABER HOUSES AND SENIOR CENTER,NYCHA,1410,IN USE-RESIDENTIAL STRUCTURE,Y
3074220501,0,,BEDFORD AVENUE,BEDFORD AVENUE,BILL BROWN MEMORIAL PLYGRD,BILL BROWN MEMORIAL PLAYGROUND,PARKS,430,PLAYGROUND/SPORTS AREA,Y
5067900001,250,250,WOODVALE AVENUE,WOODVALE AVENUE,BLOESERS POND SI BLUEBELT,BLOESERS POND STATEN ISLAND BLUEBELT,DEP,471,NATURAL AREA/WETLAND/WILDLIFE REFUGE,Y
2040720014,,,PONTON AVENUE,PONTON AVENUE,BLONDELL AVE,BLONDELL AVENUE,DOT,880,ROAD/HIGHWAY,Y
3015860028,1164,1164,MYRTLE AVENUE,MYRTLE AVENUE,BMT  BROADWAY & MYRTLE AVES,BMT  BROADWAY AND MYRTLE AVES,MTA,862,TRANSIT SUBSTATION,Y
3072660249,,,SURF AVENUE,SURF AVENUE,BMT STILLWELL AVE. STATION,BMT STILLWELL AVENUE STATION,MTA,890,OTHER TRANSPORTATION FACILITY,Y
3055820002,,,NEW UTRECHT AVE,NEW UTRECHT AVENUE,BMT W. END LINE & 9TH AVE STA,BMT W. END LINE AND 9TH AVENUE STATION,MTA,861,TRANSIT WAY,Y
2052630070,3540-80,3540-80,BIVONA STREET,BIVONA STREET,BOSTON SECOR HSES & SENIOR CTR,BOSTON SECOR HOUSES AND SENIOR CENTER,NYCHA,1410,IN USE-RESIDENTIAL STRUCTURE,Y
2052630070,3540-80,3540-80,BIVONA STREET,BIVONA STREET,BOSTON SECOR HSES & SENIOR CTR,BOSTON SECOR HOUSES AND SENIOR CENTER,EDUC,211,ELEMENTARY SCHOOL,Y
2037150023,1044,1044,BOYNTON AVENUE,BOYNTON AVENUE,BOYNTON AVE REHAB,BOYNTON AVENUE REHAB,NYCHA,1410,IN USE-RESIDENTIAL STRUCTURE,Y
3017010001,1700,1700,FULTON STREET,FULTON STREET,BOYS & GIRLS HS & PLAYGROUND,BOYS AND GIRLS HS & PLAYGROUND,EDUC,213,ACADEMIC HIGH SCHOOL,Y
3016880001,292,292,RALPH AVENUE,RALPH AVENUE,BREVOORT HOUSES & PLAYGROUND,BREVOORT HOUSES AND PLAYGROUND,PARKS,430,PLAYGROUND/SPORTS AREA,Y
3016880001,292,292,RALPH AVENUE,RALPH AVENUE,BREVOORT HOUSES & PLAYGROUND,BREVOORT HOUSES AND PLAYGROUND,NYCHA,1410,IN USE-RESIDENTIAL STRUCTURE,Y
4154610780,,,CROSS BAY BOULEVARD,CROSS BAY BOULEVARD,BROAD CHANNEL GENE GRAY PLYGRD,BROAD CHANNEL GENE GRAY PLAYGROUND,PARKS,430,PLAYGROUND/SPORTS AREA,Y
2043330100,,,,,BRONX & PELHAM PKWY,BRONX AND PELHAM PKWY,PARKS,440,PARK,Y
2033380054,3309,3309,BAINBRIDGE AVENUE,BAINBRIDGE AVENUE,BX COUNTY HISTORICAL SOCIETY,BRONX COUNTY HISTORICAL SOCIETY,CULT,390,OTHER CULTURAL FACILITY,Y
2026990045,1001,1001,INTERVALE AVENUE,INTERVALE AVENUE,BX LIGHTHOUSE CHARTER SCHOOL,BRONX LIGHTHOUSE CHARTER SCHOOL,EDUC,219,CHARTER SCHOOL,Y
2026980012,1010,1010,REV JAMES POLITE AVENUE,REV JAMES POLITE AVENUE,BX REGIONAL ALT HS & PLGD-JOP,BRONX REGIONAL ALT HS AND PLAYGROUND JOP,EDUC,215,ALTERNATIVE HIGH SCHOOL,Y
2026980012,1010,1010,REV JAMES POLITE AVENUE,REV JAMES POLITE AVENUE,BX REGIONAL ALT HS & PLGD-JOP,BRONX REGIONAL ALT HS AND PLAYGROUND JOP,PARKS,431,PLAYGROUND,Y
2038660031,1350,1350,MANOR AVENUE,MANOR AVENUE,BX RIVER HOUSES ADDITION,BRONX RIVER HOUSES ADDITION,NYCHA,1410,IN USE-RESIDENTIAL STRUCTURE,Y
2038680033,1630,1630,EAST 174 STREET,EAST  174 STREET,BX RIVER HOUSES ADDITION,BRONX RIVER HOUSES ADDITION,NYCHA,1410,IN USE-RESIDENTIAL STRUCTURE,Y
2037690001,,,EAST 172 STREET,EAST  172 STREET,BRONX RIVER PARK/STARLIGHT PK,BRONX RIVER PARK/STARLIGHT PARK,PARKS,440,PARK,Y
2024680001,851,851,GRAND CONCOURSE,GRAND CONCOURSE,BX SUPREME COUNTY COURTHOUSE,BRONX SUPREME COUNTY COURTHOUSE,OCA,100,OFFICE,Y
2024680001,851,851,GRAND CONCOURSE,GRAND CONCOURSE,BX SUPREME COUNTY COURTHOUSE,BRONX SUPREME COUNTY COURTHOUSE,CLERK,130,BOROUGH OFFICE,Y
2024680001,851,851,GRAND CONCOURSE,GRAND CONCOURSE,BX SUPREME COUNTY COURTHOUSE,BRONX SUPREME COUNTY COURTHOUSE,DA-BX,120,AGENCY OFFICE,Y
2024680001,851,851,GRAND CONCOURSE,GRAND CONCOURSE,BX SUPREME COUNTY COURTHOUSE,BRONX SUPREME COUNTY COURTHOUSE,PA-BX,130,BOROUGH OFFICE,Y
2024680001,851,851,GRAND CONCOURSE,GRAND CONCOURSE,BX SUPREME COUNTY COURTHOUSE,BRONX SUPREME COUNTY COURTHOUSE,CORR,1210,COURTHOUSE,Y
2024680001,851,851,GRAND CONCOURSE,GRAND CONCOURSE,BX SUPREME COUNTY COURTHOUSE,BRONX SUPREME COUNTY COURTHOUSE,OCA,1210,COURTHOUSE,Y
2024680001,851,851,GRAND CONCOURSE,GRAND CONCOURSE,BX SUPREME COUNTY COURTHOUSE,BRONX SUPREME COUNTY COURTHOUSE,BP-BX,110,AGENCY EXECUTIVE OFFICE,Y
2024680001,851,851,GRAND CONCOURSE,GRAND CONCOURSE,BX SUPREME COUNTY COURTHOUSE,BRONX SUPREME COUNTY COURTHOUSE,DCAS,1380,CUSTODIAL,Y
5055700150,BED OF,BED OF,RICHMOND AVENUE,RICHMOND AVENUE,BROOKFIELD AVE. LANDFILL,BROOKFIELD AVENUE LANDFILL,DOT,880,ROAD/HIGHWAY,Y
